,Date,PM10,NO2,SO2,O3,AQI
1726,2019-09-23,83.33,30.02,9.9,30.49,89.0
1727,2019-09-24,96.22,34.98,9.19,28.92,103.0
1728,2019-09-25,86.31,29.99,8.94,28.53,100.0
1729,2019-09-26,69.49,27.25,10.43,24.16,87.0
1730,2019-09-27,56.71,24.52,10.3,23.54,78.0
1731,2019-09-28,66.98,26.18,10.01,22.22,78.0
1732,2019-09-29,51.03,22.84,8.85,22.84,68.0
1733,2019-09-30,81.97,27.89,8.22,26.67,75.0
1734,2019-10-01,92.41,28.0,8.5,26.15,98.0
1735,2019-10-02,96.13,29.72,8.95,34.94,105.0
1736,2019-10-03,143.97,36.77,10.42,44.29,140.0
1737,2019-10-04,94.9,34.07,8.34,32.54,113.0
1738,2019-10-05,108.22,33.82,8.08,32.66,108.0
1739,2019-10-06,140.15,36.98,8.62,40.18,127.0
1740,2019-10-07,137.81,33.46,8.25,36.23,133.0
1741,2019-10-08,116.56,33.4,8.91,38.81,123.0
1742,2019-10-09,182.89,45.5,11.9,51.37,165.0
1743,2019-10-10,215.18,50.32,13.83,53.51,208.0
1744,2019-10-11,203.36,48.05,11.02,47.07,243.0
1745,2019-10-12,209.42,48.54,11.26,44.45,235.0
1746,2019-10-13,255.42,51.27,12.75,44.55,282.0
1747,2019-10-14,239.47,50.83,11.46,43.59,285.0
1748,2019-10-15,285.26,58.61,13.31,53.79,291.0
1749,2019-10-16,279.78,53.03,13.22,55.69,320.0
1750,2019-10-17,245.2,46.51,14.95,49.68,300.0
1751,2019-10-18,203.39,39.62,11.36,42.7,265.0
1752,2019-10-19,174.84,51.37,11.33,43.23,170.0
1753,2019-10-20,203.14,48.83,10.64,33.47,242.0
1754,2019-10-21,235.0,51.05,11.11,36.8,254.0
1755,2019-10-22,213.26,50.05,11.7,39.48,243.0
1756,2019-10-23,268.58,57.92,14.08,44.15,248.0
1757,2019-10-24,346.51,67.36,18.87,57.94,335.0
1758,2019-10-25,270.87,52.55,15.17,52.25,331.0
1759,2019-10-26,290.6,56.43,12.76,50.59,315.0
1760,2019-10-27,321.68,48.37,13.21,47.27,354.0
1761,2019-10-28,420.35,48.45,18.03,42.79,417.0
1762,2019-10-29,440.77,60.03,12.71,33.2,419.0
1763,2019-10-30,454.35,63.87,13.81,34.86,452.0
1764,2019-10-31,500.04,71.37,15.86,38.29,460.0
1765,2019-11-01,584.15,73.61,16.32,49.77,591.0
1766,2019-11-02,467.74,54.1,12.88,35.0,473.0
1767,2019-11-03,706.58,49.67,10.2,33.91,659.0
1768,2019-11-04,386.16,44.53,11.68,36.82,532.0
1769,2019-11-05,296.98,44.32,13.17,39.23,385.0
1770,2019-11-06,207.19,54.77,11.58,29.77,265.0
1771,2019-11-07,292.56,51.64,11.95,23.72,296.0
1772,2019-11-08,253.44,52.79,14.04,32.33,346.0
1773,2019-11-09,230.5,44.01,11.58,30.42,321.0
1774,2019-11-10,296.44,50.35,13.95,38.5,339.0
1775,2019-11-11,380.54,61.36,15.18,42.35,376.0
1776,2019-11-12,529.59,66.1,14.41,48.8,475.0
1777,2019-11-13,541.19,73.6,15.12,39.52,532.0
1778,2019-11-14,545.66,82.63,16.26,26.54,537.0
1779,2019-11-15,576.12,59.35,14.14,37.71,595.0
1780,2019-11-16,293.0,42.35,12.89,31.94,438.0
1781,2019-11-17,165.5,33.78,10.78,27.01,273.0
1782,2019-11-18,181.67,40.05,10.55,30.33,245.0
1783,2019-11-19,218.13,52.79,12.05,31.56,251.0
1784,2019-11-20,295.47,77.62,14.74,38.99,315.0
1785,2019-11-21,363.77,91.65,19.85,48.43,375.0
1786,2019-11-22,332.6,75.08,16.02,41.54,377.0
1787,2019-11-23,224.14,52.7,11.64,25.58,334.0
1788,2019-11-24,178.21,43.51,11.35,29.6,264.0
1789,2019-11-25,213.67,53.29,13.59,31.86,269.0
1790,2019-11-26,225.78,53.83,17.65,39.21,284.0
1791,2019-11-27,128.1,42.94,10.71,30.2,166.0
1792,2019-11-28,58.6,32.3,8.99,28.72,106.0
1793,2019-11-29,100.29,41.9,10.14,24.66,89.0
1794,2019-11-30,159.36,45.04,9.87,23.38,175.0
1795,2019-12-01,192.47,50.39,11.39,32.28,257.0
1796,2019-12-02,229.08,57.23,11.18,32.54,299.0
1797,2019-12-03,241.56,60.85,11.37,32.57,302.0
1798,2019-12-04,277.92,71.65,13.48,33.48,313.0
1799,2019-12-05,416.79,91.53,14.48,42.41,389.0
1800,2019-12-06,362.1,69.73,13.41,32.34,423.0
1801,2019-12-07,348.44,66.41,15.4,33.69,382.0
1802,2019-12-08,355.16,68.59,13.69,32.51,404.0
1803,2019-12-09,311.58,68.28,12.34,29.47,371.0
1804,2019-12-10,363.3,72.63,12.49,38.14,377.0
1805,2019-12-11,452.65,85.56,14.71,41.46,430.0
1806,2019-12-12,412.59,64.36,12.61,44.13,471.0
1807,2019-12-13,124.26,41.21,7.9,29.14,322.0
1808,2019-12-14,128.36,41.29,9.04,22.94,179.0
1809,2019-12-15,151.57,39.9,8.5,22.96,205.0
1810,2019-12-16,133.11,35.06,7.17,22.1,202.0
1811,2019-12-17,140.23,32.7,7.26,24.27,178.0
1812,2019-12-18,214.88,44.41,7.98,32.08,273.0
1813,2019-12-19,385.13,55.64,9.64,28.22,354.0
1814,2019-12-20,449.06,60.58,9.92,29.05,452.0
1815,2019-12-21,353.94,50.24,8.52,23.62,441.0
1816,2019-12-22,202.05,38.96,6.67,21.48,351.0
1817,2019-12-23,240.19,39.83,7.0,23.8,321.0
1818,2019-12-24,401.03,56.72,8.7,28.17,376.0
1819,2019-12-25,258.28,39.77,6.96,21.13,384.0
1820,2019-12-26,299.85,45.08,6.99,25.73,340.0
1821,2019-12-27,371.45,54.6,7.88,27.55,372.0
1822,2019-12-28,426.12,55.98,10.26,27.92,425.0
1823,2019-12-29,500.15,57.76,10.25,35.11,455.0
1824,2019-12-30,486.35,55.61,11.15,26.44,506.0
1825,2019-12-31,338.18,47.5,11.03,28.07,417.0
1826,2020-01-01,483.87,64.18,18.49,39.58,492.0
1827,2020-01-02,439.31,64.8,19.95,36.5,485.0
1828,2020-01-03,337.04,55.65,14.93,27.82,426.0
1829,2020-01-04,327.22,57.67,12.85,29.94,366.0
1830,2020-01-05,257.94,48.25,9.59,30.21,354.0
1831,2020-01-06,247.47,51.19,11.34,21.99,335.0
1832,2020-01-07,176.22,44.9,12.74,22.82,285.0
1833,2020-01-08,145.85,38.64,8.67,17.63,281.0
1834,2020-01-09,132.06,32.3,7.28,22.0,231.0
1835,2020-01-10,203.54,45.12,9.44,27.25,255.0
1836,2020-01-11,245.62,53.28,11.65,30.98,309.0
1837,2020-01-12,325.36,59.91,12.35,32.47,352.0
1838,2020-01-13,329.77,55.04,11.59,27.98,381.0
1839,2020-01-14,163.67,38.08,9.24,21.62,314.0
1840,2020-01-15,179.08,47.45,10.68,26.19,241.0
1841,2020-01-16,197.9,44.21,10.44,18.63,286.0
1842,2020-01-17,152.98,36.19,9.69,18.97,287.0
1843,2020-01-18,198.24,43.78,9.65,19.93,262.0
1844,2020-01-19,187.93,34.18,8.69,25.86,290.0
1845,2020-01-20,225.67,38.21,9.65,24.64,282.0
1846,2020-01-21,348.45,48.18,12.24,27.6,359.0
1847,2020-01-22,296.98,44.3,10.95,24.63,378.0
1848,2020-01-23,137.61,35.26,8.71,27.73,273.0
1849,2020-01-24,151.81,44.0,10.73,30.53,155.0
1850,2020-01-25,240.57,56.31,12.36,26.8,251.0
1851,2020-01-26,309.09,50.94,12.81,32.7,349.0
1852,2020-01-27,330.91,67.09,14.72,26.6,365.0
1853,2020-01-28,149.12,42.01,11.12,23.29,302.0
1854,2020-01-29,134.17,42.24,9.85,23.96,218.0
1855,2020-01-30,168.43,45.04,10.06,24.23,195.0
1856,2020-01-31,170.33,47.35,9.9,24.36,203.0
1857,2020-02-01,201.19,44.25,10.02,29.22,244.0
1858,2020-02-02,200.9,45.28,10.32,29.69,254.0
1859,2020-02-03,243.43,53.71,11.4,33.94,297.0
1860,2020-02-04,340.56,64.8,15.26,41.0,336.0
1861,2020-02-05,255.41,53.35,13.31,32.03,344.0
1862,2020-02-06,205.43,51.82,12.08,33.75,277.0
1863,2020-02-07,253.82,58.46,14.21,34.75,307.0
1864,2020-02-08,238.17,47.55,14.39,35.72,315.0
1865,2020-02-09,247.62,50.75,14.64,36.29,310.0
1866,2020-02-10,292.44,56.48,14.83,31.92,328.0
1867,2020-02-11,306.12,60.12,14.37,37.22,347.0
1868,2020-02-12,295.05,55.96,16.24,37.86,343.0
1869,2020-02-13,179.78,41.59,16.49,36.8,279.0
1870,2020-02-14,172.28,34.6,13.53,43.62,186.0
1871,2020-02-15,174.78,44.57,17.59,42.21,174.0
1872,2020-02-16,237.81,57.15,19.61,40.01,254.0
1873,2020-02-17,282.84,61.17,18.85,38.6,323.0
1874,2020-02-18,238.91,59.91,23.01,42.7,292.0
1875,2020-02-19,286.39,59.9,20.13,44.29,300.0
1876,2020-02-20,223.69,44.05,14.91,55.32,253.0
1877,2020-02-21,85.49,33.27,10.45,39.58,170.0
1878,2020-02-22,123.44,41.23,13.38,32.03,104.0
1879,2020-02-23,182.2,42.24,14.3,35.15,221.0
1880,2020-02-24,145.05,44.2,15.94,33.36,169.0
1881,2020-02-25,224.02,46.76,18.24,35.32,244.0
1882,2020-02-26,258.62,50.67,17.61,38.64,303.0
1883,2020-02-27,203.77,46.15,14.7,36.36,270.0
1884,2020-02-28,161.36,33.92,11.55,41.53,214.0
1885,2020-02-29,115.82,33.98,12.05,37.35,144.0
1886,2020-03-01,91.88,40.73,12.19,39.84,105.0
1887,2020-03-02,203.51,50.23,15.81,36.64,192.0
1888,2020-03-03,188.73,46.6,15.48,32.39,226.0
1889,2020-03-04,193.79,45.62,16.22,41.77,200.0
1890,2020-03-05,67.5,32.97,11.32,36.98,112.0
1891,2020-03-06,38.5,33.71,10.42,33.52,82.0
1892,2020-03-07,85.45,35.53,11.84,35.47,77.0
1893,2020-03-08,140.22,37.14,12.61,34.59,156.0
1894,2020-03-09,133.75,32.29,13.33,34.54,138.0
1895,2020-03-10,160.91,30.22,17.21,47.66,186.0
1896,2020-03-11,112.57,29.76,13.82,42.36,128.0
1897,2020-03-12,155.18,36.74,13.68,34.27,125.0
1898,2020-03-13,209.02,40.53,15.42,37.42,170.0
1899,2020-03-14,85.26,34.59,11.59,29.17,131.0
1900,2020-03-15,124.24,41.09,13.92,37.25,124.0
1901,2020-03-16,144.37,41.52,14.8,38.38,148.0
1902,2020-03-17,160.15,43.5,15.06,40.59,164.0
1903,2020-03-18,162.56,45.86,14.93,41.73,162.0
1904,2020-03-19,195.15,45.67,17.66,43.16,191.0
1905,2020-03-20,200.79,51.26,19.71,48.23,209.0
1906,2020-03-21,184.81,46.04,18.55,43.19,205.0
1907,2020-03-22,134.46,29.85,16.63,47.67,198.0
1908,2020-03-23,100.55,25.96,15.17,46.48,127.0
1909,2020-03-24,103.62,27.07,15.81,38.23,124.0
1910,2020-03-25,68.03,21.11,11.49,32.11,92.0
1911,2020-03-26,75.81,16.58,12.82,30.59,93.0
1912,2020-03-27,45.48,15.32,11.04,27.38,76.0
1913,2020-03-28,34.15,17.52,10.28,25.06,51.0
1914,2020-03-29,55.75,16.6,10.39,35.75,64.0
1915,2020-03-30,64.66,17.52,12.47,40.26,74.0
1916,2020-03-31,67.01,18.03,12.33,40.96,81.0
1917,2020-04-01,65.84,19.17,13.0,35.06,80.0
1918,2020-04-02,61.06,17.18,10.84,39.47,78.0
1919,2020-04-03,62.69,20.07,11.99,46.82,84.0
1920,2020-04-04,77.64,22.38,12.59,41.26,90.0
1921,2020-04-05,96.88,24.42,16.03,44.55,103.0
1922,2020-04-06,114.88,24.37,15.59,44.16,134.0
1923,2020-04-07,94.02,19.27,13.46,42.65,100.0
1924,2020-04-08,79.04,18.56,12.85,45.8,91.0
1925,2020-04-09,76.32,21.37,14.2,48.34,89.0
1926,2020-04-10,112.93,27.12,16.32,40.36,111.0
1927,2020-04-11,118.1,23.64,18.38,49.51,126.0
1928,2020-04-12,92.7,17.59,15.7,50.15,102.0
1929,2020-04-13,136.77,23.4,19.86,41.07,119.0
1930,2020-04-14,144.7,25.71,17.38,40.74,134.0
1931,2020-04-15,190.98,24.55,14.89,38.22,152.0
1932,2020-04-16,191.17,25.01,19.42,41.87,172.0
1933,2020-04-17,89.58,15.83,14.08,53.53,123.0
1934,2020-04-18,102.53,15.45,12.63,49.14,102.0
1935,2020-04-19,73.86,19.72,13.17,40.53,95.0
1936,2020-04-20,113.25,24.56,15.06,32.67,115.0
1937,2020-04-21,87.27,19.64,15.36,48.56,102.0
1938,2020-04-22,130.99,24.79,17.34,46.94,122.0
1939,2020-04-23,127.82,24.83,17.39,43.99,129.0
1940,2020-04-24,138.46,25.62,18.62,47.98,143.0
1941,2020-04-25,85.83,18.68,12.76,54.53,121.0
1942,2020-04-26,117.1,17.45,16.21,47.16,119.0
1943,2020-04-27,53.02,14.8,15.59,53.43,98.0
1944,2020-04-28,80.36,17.35,17.6,58.96,105.0
1945,2020-04-29,114.91,20.11,19.08,58.57,123.0
1946,2020-04-30,115.63,17.61,17.42,59.55,128.0
1947,2020-05-01,143.11,18.46,17.52,56.81,140.0
1948,2020-05-02,107.36,14.36,13.0,60.45,127.0
1949,2020-05-03,83.02,15.14,11.94,49.04,110.0
1950,2020-05-04,60.59,16.95,11.92,50.56,92.0
1951,2020-05-05,115.91,21.36,16.4,52.12,117.0
1952,2020-05-06,169.61,21.88,15.78,53.95,139.0
1953,2020-05-07,88.35,17.97,13.6,73.11,140.0
1954,2020-05-08,120.82,21.66,13.82,74.28,138.0
1955,2020-05-09,126.9,17.65,13.33,76.32,142.0
1956,2020-05-10,110.39,16.46,12.02,63.71,127.0
1957,2020-05-11,93.49,19.53,12.66,64.6,113.0
1958,2020-05-12,94.4,18.49,13.84,64.1,122.0
1959,2020-05-13,159.2,21.34,15.41,52.2,132.0
1960,2020-05-14,126.53,25.12,12.92,50.22,154.0
1961,2020-05-15,101.93,23.45,13.71,53.08,125.0
1962,2020-05-16,151.8,26.17,16.19,63.12,175.0
1963,2020-05-17,187.24,31.96,20.19,59.79,202.0
1964,2020-05-18,192.68,34.76,22.11,53.55,222.0
1965,2020-05-19,208.65,42.67,20.41,57.05,238.0
1966,2020-05-20,155.41,32.8,18.96,62.34,196.0
1967,2020-05-21,163.77,31.36,18.99,62.56,149.0
1968,2020-05-22,213.47,45.36,26.05,55.45,199.0
1969,2020-05-23,209.49,42.43,17.05,41.87,202.0
1970,2020-05-24,179.3,27.35,17.11,53.31,174.0
1971,2020-05-25,162.41,30.92,21.3,54.74,157.0
1972,2020-05-26,190.11,37.79,16.82,38.73,153.0
1973,2020-05-27,161.76,26.95,14.49,66.77,156.0
1974,2020-05-28,229.55,17.1,11.68,55.92,174.0
1975,2020-05-29,66.66,19.02,9.95,47.48,129.0
1976,2020-05-30,53.19,18.51,9.95,50.29,84.0
1977,2020-05-31,40.43,17.05,9.06,42.29,80.0
1978,2020-06-01,80.47,22.99,14.02,50.57,100.0
1979,2020-06-02,98.32,24.78,12.71,50.06,123.0
1980,2020-06-03,114.01,28.02,15.91,52.16,123.0
1981,2020-06-04,143.79,34.11,17.97,39.14,144.0
1982,2020-06-05,87.05,25.87,12.46,44.83,126.0
1983,2020-06-06,80.49,21.25,10.69,51.46,102.0
1984,2020-06-07,91.17,22.65,11.89,45.4,104.0
1985,2020-06-08,103.27,25.81,15.78,51.77,112.0
1986,2020-06-09,148.67,32.01,15.06,49.14,138.0
1987,2020-06-10,156.29,34.31,14.12,40.8,154.0
1988,2020-06-11,134.36,30.94,12.74,40.63,142.0
1989,2020-06-12,152.7,30.05,12.9,43.37,152.0
1990,2020-06-13,129.33,25.46,10.59,34.95,132.0
1991,2020-06-14,150.28,26.01,13.57,38.86,147.0
1992,2020-06-15,120.23,25.95,12.57,48.39,130.0
1993,2020-06-16,107.99,24.58,12.08,51.4,126.0
1994,2020-06-17,92.58,16.94,10.84,48.72,110.0
1995,2020-06-18,100.62,18.32,12.19,47.98,107.0
1996,2020-06-19,205.56,17.78,11.98,40.95,132.0
1997,2020-06-20,108.73,20.37,10.98,36.24,158.0
1998,2020-06-21,95.63,23.7,11.71,33.92,105.0
1999,2020-06-22,77.48,20.61,11.08,42.76,104.0
2000,2020-06-23,64.12,16.39,11.09,28.64,85.0
2001,2020-06-24,62.61,16.84,11.02,24.77,71.0
2002,2020-06-25,77.76,21.41,11.28,25.92,86.0
2003,2020-06-26,112.08,22.06,11.66,24.82,104.0
2004,2020-06-27,155.94,21.46,10.38,18.88,112.0
2005,2020-06-28,308.65,21.6,10.7,18.05,196.0
2006,2020-06-29,184.12,21.57,11.58,26.61,233.0
2007,2020-06-30,91.98,17.96,10.51,37.29,114.0
2008,2020-07-01,128.66,21.05,11.15,29.73,101.0
2009,2020-07-02,113.0,18.0,1.0,18.0,151.0
2010,2020-07-03,79.0,12.0,1.0,15.0,149.0
2011,2020-07-04,53.0,8.0,2.0,12.0,120.0
2012,2020-07-05,79.0,12.0,2.0,12.0,75.0
2013,2020-07-06,46.0,9.0,3.0,7.0,125.0
2014,2020-07-07,41.0,9.0,1.0,9.0,66.0
2015,2020-07-08,66.0,11.0,2.0,14.0,67.0
2016,2020-07-09,60.0,8.0,2.0,12.0,107.0
2017,2020-07-10,50.0,9.0,1.0,19.0,84.0
2018,2020-07-11,55.0,8.0,4.0,12.0,68.0
2019,2020-07-12,85.0,9.0,5.0,18.0,80.0
2020,2020-07-13,113.0,9.0,3.0,17.0,105.0
2021,2020-07-14,83.0,10.0,5.0,15.0,124.0
2022,2020-07-15,64.0,10.0,6.0,12.0,115.0
2023,2020-07-16,78.0,14.0,3.0,14.0,99.0
2024,2020-07-17,65.0,9.0,4.0,10.0,125.0
2025,2020-07-18,40.0,10.0,4.0,12.0,96.0
2026,2020-07-19,41.0,11.0,1.0,16.0,63.0
2027,2020-07-20,44.0,14.0,2.0,14.0,55.0
2028,2020-07-21,51.0,11.0,2.0,15.0,70.0
2029,2020-07-22,60.0,11.0,2.0,18.0,81.0
2030,2020-07-23,73.0,13.0,2.0,15.0,94.0
2031,2020-07-24,58.0,9.0,2.0,16.0,131.0
2032,2020-07-25,71.0,13.0,2.0,15.0,87.0
2033,2020-07-26,76.0,11.0,1.0,14.0,116.0
2034,2020-07-27,65.0,10.0,1.0,9.0,103.0
2035,2020-07-28,70.0,16.0,1.0,7.0,74.0
2036,2020-07-29,48.0,13.0,1.0,7.0,75.0
2037,2020-07-30,66.0,14.0,2.0,18.0,67.0
2038,2020-07-31,49.0,11.0,2.0,8.0,100.0
2039,2020-08-01,41.0,7.0,2.0,6.0,80.0
2040,2020-08-02,52.0,8.0,1.0,12.0,70.0
2041,2020-08-03,65.0,10.0,1.0,12.0,83.0
2042,2020-08-04,76.0,13.0,1.0,11.0,74.0
2043,2020-08-05,61.0,10.0,1.0,10.0,106.0
2044,2020-08-06,58.0,12.0,1.0,7.0,75.0
2045,2020-08-07,68.0,10.0,1.0,7.0,79.0
2046,2020-08-08,45.0,7.0,1.0,8.0,113.0
2047,2020-08-09,57.0,12.0,1.0,9.0,84.0
2048,2020-08-10,64.0,11.0,1.0,8.0,98.0
2049,2020-08-11,48.0,6.0,1.0,9.0,105.0
2050,2020-08-12,35.0,9.0,1.0,8.0,64.0
2051,2020-08-13,47.0,8.0,1.0,4.0,53.0
2052,2020-08-14,58.0,10.0,1.0,6.0,64.0
2053,2020-08-15,56.0,12.0,1.0,6.0,94.0
2054,2020-08-16,60.0,14.0,1.0,5.0,82.0
2055,2020-08-17,66.0,13.0,1.0,5.0,90.0
2056,2020-08-18,41.0,14.0,1.0,4.0,103.0
2057,2020-08-19,34.0,13.0,1.0,3.0,61.0
2058,2020-08-20,43.0,10.0,1.0,4.0,52.0
2059,2020-08-21,50.0,7.0,1.0,6.0,53.0
2060,2020-08-22,46.0,7.0,1.0,9.0,46.0
2061,2020-08-23,48.0,13.0,1.0,6.0,58.0
2062,2020-08-24,59.0,15.0,1.0,7.0,60.0
2063,2020-08-25,46.0,10.0,1.0,6.0,78.0
2064,2020-08-26,61.0,9.0,1.0,6.0,55.0
2065,2020-08-27,62.0,11.0,3.0,5.0,82.0
2066,2020-08-28,63.0,13.0,3.0,6.0,88.0
2067,2020-08-29,53.0,8.0,3.0,5.0,91.0
2068,2020-08-30,41.0,14.0,2.0,8.0,70.0
2069,2020-08-31,61.0,17.0,3.0,5.0,56.0
2070,2020-09-01,63.0,12.0,2.0,5.0,77.0
2071,2020-09-02,87.0,16.0,6.0,5.0,86.0
2072,2020-09-03,92.0,19.0,3.0,4.0,121.0
2073,2020-09-04,81.0,13.0,3.0,5.0,140.0
2074,2020-09-05,55.0,9.0,2.0,4.0,132.0
2075,2020-09-06,67.0,11.0,3.0,5.0,88.0
2076,2020-09-07,62.0,9.0,3.0,7.0,101.0
2077,2020-09-08,81.0,11.0,5.0,7.0,90.0
2078,2020-09-09,82.0,12.0,6.0,11.0,131.0
2079,2020-09-10,113.0,14.0,5.0,11.0,128.0
2080,2020-09-11,116.0,14.0,5.0,7.0,137.0
2081,2020-09-12,114.0,13.0,1.0,8.0,147.0
2082,2020-09-13,112.0,14.0,2.0,7.0,156.0
2083,2020-09-14,106.0,13.0,1.0,8.0,155.0
2084,2020-09-15,113.0,14.0,2.0,7.0,154.0
2085,2020-09-16,88.0,10.0,1.0,6.0,152.0
2086,2020-09-17,93.0,10.0,1.0,7.0,130.0
2087,2020-09-18,102.0,13.0,1.0,7.0,124.0
2088,2020-09-19,113.0,11.0,1.0,7.0,145.0
2089,2020-09-20,104.0,10.0,1.0,6.0,153.0
2090,2020-09-21,98.0,15.0,3.0,7.0,150.0
2091,2020-09-22,83.0,16.0,2.0,6.0,123.0
2092,2020-09-23,85.0,15.0,2.0,6.0,91.0
2093,2020-09-24,107.0,16.0,2.0,5.0,115.0
2094,2020-09-25,119.0,17.0,5.0,4.0,146.0
2095,2020-09-26,87.0,12.0,4.0,6.0,151.0
2096,2020-09-27,131.0,14.0,3.0,6.0,101.0
2097,2020-09-28,141.0,13.0,3.0,6.0,151.0
2098,2020-09-29,115.0,12.0,3.0,5.0,160.0
2099,2020-09-30,129.0,15.0,3.0,6.0,142.0
2100,2020-10-01,127.0,13.0,4.0,7.0,150.0
2101,2020-10-02,144.0,15.0,4.0,7.0,165.0
2102,2020-10-03,145.0,16.0,6.0,8.0,164.0
2103,2020-10-04,134.0,16.0,6.0,8.0,165.0
2104,2020-10-05,150.0,20.0,7.0,9.0,154.0
2105,2020-10-06,178.0,21.0,7.0,10.0,164.0
2106,2020-10-07,162.0,18.0,5.0,11.0,183.0
2107,2020-10-08,194.0,17.0,6.0,47.0,173.0
2108,2020-10-09,183.0,17.0,9.0,34.0,174.0
2109,2020-10-10,199.0,17.0,6.0,44.0,184.0
2110,2020-10-11,224.0,26.0,8.0,42.0,183.0
2111,2020-10-12,253.0,29.0,6.0,51.0,198.0
2112,2020-10-13,255.0,26.0,8.0,39.0,210.0
2113,2020-10-14,226.0,22.0,7.0,38.0,202.0
2114,2020-10-15,204.0,28.0,5.0,37.0,195.0
2115,2020-10-16,205.0,25.0,7.0,47.0,193.0
2116,2020-10-17,149.0,17.0,6.0,43.0,197.0
2117,2020-10-18,180.0,19.0,7.0,47.0,171.0
2118,2020-10-19,193.0,25.0,7.0,46.0,180.0
2119,2020-10-20,268.0,34.0,7.0,52.0,184.0
2120,2020-10-21,379.0,38.0,5.0,58.0,213.0
2121,2020-10-22,361.0,35.0,3.0,69.0,255.0
2122,2020-10-23,310.0,31.0,3.0,54.0,290.0
2123,2020-10-24,309.0,31.0,2.0,83.0,289.0
2124,2020-10-25,283.0,29.0,3.0,43.0,291.0
2125,2020-10-26,205.0,21.0,2.0,39.0,253.0
2126,2020-10-27,244.0,30.0,3.0,50.0,238.0
2127,2020-10-28,416.0,45.0,4.0,63.0,259.0
2128,2020-10-29,277.0,27.0,2.0,46.0,346.0
2129,2020-10-30,357.0,21.0,3.0,43.0,292.0
2130,2020-10-31,386.0,23.0,3.0,44.0,333.0
2131,2020-11-01,245.0,28.0,3.0,36.0,356.0
2132,2020-11-02,304.0,38.0,4.0,39.0,240.0
2133,2020-11-03,554.0,44.0,4.0,23.0,241.0
2134,2020-11-04,405.0,34.0,3.0,44.0,434.0
2135,2020-11-05,392.0,32.0,3.0,41.0,370.0
2136,2020-11-06,466.0,29.0,2.0,52.0,360.0
2137,2020-11-07,567.0,35.0,3.0,51.0,395.0
2138,2020-11-08,695.0,37.0,2.0,46.0,462.0
2139,2020-11-09,680.0,43.0,6.0,51.0,563.0
2140,2020-11-10,296.0,31.0,6.0,32.0,600.0
2141,2020-11-11,275.0,36.0,6.0,30.0,256.0
2142,2020-11-12,335.0,31.0,5.0,43.0,245.0
2143,2020-11-13,601.0,29.0,5.0,42.0,327.0
2144,2020-11-14,337.0,24.0,5.0,37.0,499.0
2145,2020-11-15,95.0,16.0,3.0,22.0,337.0
2146,2020-11-16,101.0,16.0,3.0,27.0,156.0
2147,2020-11-17,150.0,22.0,2.0,38.0,163.0
2148,2020-11-18,205.0,29.0,5.0,42.0,201.0
2149,2020-11-19,156.0,22.0,4.0,40.0,227.0
2150,2020-11-20,149.0,21.0,4.0,37.0,220.0
2151,2020-11-21,183.0,23.0,5.0,39.0,197.0
2152,2020-11-22,269.0,39.0,8.0,34.0,235.0
2153,2020-11-23,433.0,48.0,9.0,53.0,263.0
2154,2020-11-24,416.0,33.0,9.0,25.0,335.0
2155,2020-11-25,117.0,15.0,8.0,24.0,374.0
2156,2020-11-26,110.0,22.0,3.0,24.0,149.0
2157,2020-11-27,132.0,22.0,3.0,32.0,152.0
2158,2020-11-28,198.0,29.0,5.0,40.0,189.0
2159,2020-11-29,267.0,36.0,5.0,39.0,246.0
2160,2020-11-30,290.0,39.0,5.0,44.0,296.0
2161,2020-12-01,232.0,33.0,5.0,42.0,308.0
2162,2020-12-02,316.0,36.0,5.0,41.0,261.0
2163,2020-12-03,530.0,50.0,7.0,68.0,299.0
2164,2020-12-04,397.0,37.0,5.0,37.0,414.0
2165,2020-12-05,355.0,31.0,4.0,42.0,355.0
2166,2020-12-06,268.0,25.0,2.0,31.0,353.0
2167,2020-12-07,332.0,32.0,6.0,35.0,315.0
2168,2020-12-08,305.0,33.0,7.0,32.0,314.0
2169,2020-12-09,179.0,24.0,4.0,21.0,263.0
2170,2020-12-10,257.0,37.0,4.0,18.0,192.0
2171,2020-12-11,272.0,21.0,1.0,7.0,224.0
2172,2020-12-12,110.0,10.0,1.0,14.0,293.0
2173,2020-12-13,100.0,9.0,3.0,21.0,177.0
2174,2020-12-14,127.0,14.0,6.0,21.0,165.0
2175,2020-12-15,125.0,13.0,6.0,18.0,179.0
2176,2020-12-16,146.0,12.0,6.0,19.0,174.0
2177,2020-12-17,156.0,20.0,1.0,29.0,195.0
2178,2020-12-18,155.0,21.0,2.0,32.0,192.0
2179,2020-12-19,221.0,25.0,3.0,32.0,193.0
2180,2020-12-20,241.0,30.0,7.0,26.0,237.0
2181,2020-12-21,436.0,32.0,7.0,27.0,239.0
2182,2020-12-22,412.0,31.0,2.0,28.0,341.0
2183,2020-12-23,319.0,27.0,2.0,27.0,333.0
2184,2020-12-24,209.0,26.0,2.0,30.0,291.0
2185,2020-12-25,332.0,32.0,2.0,24.0,221.0
2186,2020-12-26,342.0,29.0,4.0,21.0,297.0
2187,2020-12-27,208.0,19.0,2.0,22.0,266.0
2188,2020-12-28,190.0,19.0,2.0,26.0,179.0
2189,2020-12-29,168.0,15.0,1.0,15.0,190.0
2190,2020-12-30,231.0,19.0,1.0,12.0,219.0
